1
1T
6
7
10
12
14
18
19
20
21
28
29
33
34
35
36
39
41
45
54
56
57
60
62
65
67
70
71
72
73
74
76
78
79
86
88
90
93
95
96
97
98
99
200
210
212
215
216
217
232
239
251
346
376
604
605
606
607
611
617
620
621
623
624
625
626
628
629
631
638
642
646
648
649
650
652
653
654
655
657
658
660
662
663
667
669
671
672
675
676
677
680
681
682
684
687
688
696
701
706
800
801
802
805
840
851
40L (40)
51A (511)
51B (512)
52L (52)
72M (721)
72R (372)
DB (1370)
DB1 (1371)
E (105)
F (106)
FS (109)
G (120)
J (110)
L (1230)
LA (127)
NL (124)
NX (1290)
NX3 (1293)
O (1250)
OX (1251)
P (107)
U (136)
V (130)
W (119)
