"Dependent","Intercept","Slope","R_squared","P_value"
"Population","138.361663345023","1.68961688428379","0.170923604605824","1.36527031079567e-244"
"Latino","21.9435318884945","0.205787419944916","0.0424180824654433","4.77277004916283e-58"
"White","54.3565369943125","0.595114990934236","0.115490313042803","7.40762840388271e-161"
"Black","6.90104962202337","0.134137856653502","0.0389652976493189","2.23327937902044e-53"
"Native.American","0.250271647664676","0.00269082796525481","0.00622424792446893","1.08857957275897e-09"
"Asian","46.1342170081168","0.658095190947967","0.139971911264038","3.55407478726997e-197"
"Pacific.Islander","0.485851078435863","0.0118315316129249","0.0105323580379127","2.05058027368463e-15"
"Other","1.02082876820136","0.00906071728801507","0.0101367195500372","6.86478351440935e-15"
"Multi.Race","7.26937633777426","0.0728983489369698","0.116455571025402","2.86190838189399e-162"
"Homes","62.6789735739139","1.12633109916524","0.239369500489631","0"
"Vacant","5.02495762484552","0.163654202232273","0.195325435831381","3.12496237658004e-283"
"Year","2020.00000000007","-2.23531285334122e-14","0.499997455020156","0.362498918371826"
"LatinoPer","14.243129382729","-0.00402507308816534","0.000120256311435416","0.397542036315638"
"WhitePer","34.2667711121597","0.0185786640011143","0.00081006165596944","0.0280818456024459"
"BlackPer","3.95538157824089","0.0094471682269613","0.00199450970265718","0.0005667362272378"
"Native.AmericanPer","0.218223804366929","-9.78384882506323e-05","8.67457639940745e-06","0.820256035128204"
"AsianPer","26.5260338386214","0.0313064481034888","0.00295791633948743","2.68304237951381e-05"
"Pacific.IslanderPer","0.383466886268493","-5.9347217388094e-05","7.93479684895184e-07","0.945212742344021"
"OtherPer","0.765872358206325","-0.000286456050138513","3.00131652538544e-05","0.672556673431885"
"Multi.RacePer","5.58503714809815","-0.00175872199199536","0.000117439301858408","0.403126287215557"
"VacantPer","7.38338036343914","0.0184745281127515","0.00237469857154518","0.000168812692189037"
"Homeowners","20.7125394549841","0.121317077677957","0.0326028138121078","8.23699226021347e-45"
"WhiteHomeowners","10.0967048759537","0.0415407137323366","0.0125567232838827","4.24398518951908e-18"
"BlackHomeowners","0.622588329972959","0.00293425012096426","0.00247595917125138","0.000122491038970057"
"Native.AmericanHomeowners","0.0571113192414445","0.000335473615940953","0.00206275104979832","0.000455601095812355"
"AsianHomeowners","7.89363091439739","0.0654603542182846","0.0360914124304056","1.67745051867872e-49"
"Pacific.IslanderHomeowners","0.0280322969036715","3.22377591335226e-06","4.183074273978e-07","0.960205693157735"
"OtherHomeowners","0.663837587814103","0.00210566922070041","0.00208800094470563","0.000420296660841365"
"Multi.RaceHomeowners","1.35063413070083","0.00893739299381646","0.0184490600540139","6.4628958873433e-26"
"Renters","36.9414764940843","0.841359819254978","0.200770285512304","5.17247217946934e-292"
"WhiteRenters","18.7118132589056","0.35931093934978","0.148820478606776","1.48195105897057e-210"
"BlackRenters","2.26459125758889","0.0720727474084858","0.0702374844289013","2.92089681900376e-96"
"Native.AmericanRenters","0.297363250109716","0.00560848886201863","0.0310326838542624","1.05292642434523e-42"
"AsianRenters","9.33484791866115","0.28653334767044","0.174438532409125","4.36196241552686e-250"
"Pacific.IslanderRenters","0.12265687227693","0.00420052489180978","0.0230440155003887","4.99188856268334e-32"
"OtherRenters","2.66005941294599","0.045575715138602","0.0538637025231439","1.21869076699838e-73"
"Multi.RaceRenters","3.55014452359629","0.0680580559338296","0.117068904466581","3.61422008978939e-163"
"Households","57.6540159490686","0.962676896932942","0.217513587286223","2.15056894321778e-319"
"LatinoHomeowners","1.66610108608123","0.00694021401530944","0.00638726692343055","6.5990166864538e-10"
"LatinoRenters","5.49206450610992","0.0955383814673487","0.0801951244328066","3.31213970373489e-110"
"PopulationNet","3.91504413850185","1.53073153903594","0.617365239016151","0"
"WhiteNet","-1.88115175394678","0.507069678411396","0.413956615075323","0"
"BlackNet","-0.885317587366648","0.120058642341127","0.114291488329914","4.1927132173725e-159"
"Native.AmericanNet","-0.0509620411241899","0.00166497095878422","0.00191757653155799","0.000725243442824423"
"AsianNet","1.6164794200515","0.637029054232946","0.531261050319483","0"
"Pacific.IslanderNet","-0.0426146554308448","0.0125889331503773","0.0194984319270316","2.60684715750838e-27"
"OtherNet","0.603123379517133","0.00899395015848825","0.0101280453689402","7.04908625074482e-15"
"Multi.RaceNet","2.9386094905356","0.0631764440108877","0.134739752087097","2.50096888189257e-189"
"LatinoNet","1.62034407818222","0.180061015208785","0.157022823496813","4.40643755469098e-223"
"HomesNet","-2.24685794218807e-13","1.00000000000005","1","0"
"VacantNet","-0.0939903540908342","0.141631642411048","0.170153143386699","2.17132215593108e-243"
"Net.Households","0.0947750461865135","0.858379404284886","0.88278111787073","0"
"Net.Homeowners","-0.00489669901840335","0.111400779666372","0.0822876699232411","3.72268255294833e-113"
"Net.Renters","0.0992944305843534","0.746986928968936","0.732393717060037","0"
"Net.White.Homeowners","-1.40662690966023","0.0354719783109388","0.0232964194683586","2.30129585829348e-32"
"Net.Black.Homeowners","-0.257584803957126","0.00312122891369049","0.00328013120393656","9.78065875006694e-06"
"Net.Native.American.Homeowners","0.0147746602916199","0.000270545108084179","0.000897725342503395","0.0207792558827407"
"Net.Asian.Homeowners","0.655758593559562","0.0620343360375375","0.0813496474054943","7.82933665293337e-112"
"Net.Pacific.Islander.Homeowners","-0.00111660244228587","-4.55333667473952e-05","4.15955976486954e-05","0.618797465036742"
"Net.Other.Homeowners","0.132456145493091","0.00257203859379982","0.00397575218455744","1.12065932053249e-06"
"Net.Multi.Race.Homeowners","0.857891615939303","0.00788605513179036","0.0165302708057353","2.28003390755991e-23"
