"Dependent","Intercept","Slope","R_squared","P_value"
"Population","97.6262366419939","1.89991393050879","0.09051855155795","0"
"Latino","23.47867752287","0.244592349076195","0.0122133125115042","1.27097515061298e-176"
"White","33.5244380450118","0.516330326496317","0.0418374903697736","0"
"Black","5.31382017675926","0.113667850182638","0.0199464027593347","3.08372864858545e-288"
"Native.American","0.195661857596509","0.00177182378209626","0.00144034739110086","2.88811593220379e-22"
"Asian","28.9941384245187","0.943771722019208","0.111950088451997","0"
"Pacific.Islander","0.55377707597199","0.0076403356515151","0.00476746873049798","7.11931037496368e-70"
"Other","0.637899915387224","0.00959729948588265","0.0139540282507167","1.12465035104928e-201"
"Multi.Race","4.92782362388441","0.0625422238152872","0.0425718078482505","0"
"Homes","36.1718126659432","1.0652404335748","0.153162213239433","0"
"Vacant","1.74017633493089","0.132439420238212","0.16088417703445","0"
"Year","2020.00000000275","-4.55559742661372e-14","0.49999996457912","0.918462824582821"
"LatinoPer","18.7181378040761","-0.013571722639704","0.000246276980647365","6.03110695159023e-05"
"WhitePer","28.6256411951662","0.0101950771567497","8.6362089087014e-05","0.0175267912003176"
"BlackPer","3.95555598144409","0.0119454882732325","0.00114720350225543","4.71360972548105e-18"
"Native.AmericanPer","0.236835966696443","-0.000409540051229442","5.52987510416421e-05","0.057325246183652"
"AsianPer","19.9708720736826","0.100751092171239","0.0114946586976561","2.72688376916252e-166"
"Pacific.IslanderPer","0.511018876863929","-0.000719289380914779","6.51052802020914e-05","0.0391605410546657"
"OtherPer","0.713220700380395","-0.000608662445585348","3.79924346877588e-05","0.11513085970722"
"Multi.RacePer","5.5108604764899","-0.00606515819177432","0.00038368809118341","5.51818509954269e-07"
"VacantPer","5.5609248884506","0.0166955843239168","0.000630682648989661","1.36051671008903e-10"
"Homeowners","19.0239098807059","0.166307436543252","0.0152304123546479","4.51717691606397e-220"
"WhiteHomeowners","9.75834265483091","0.0442856832120471","0.00278433314223697","1.62604004415998e-41"
"BlackHomeowners","0.713160389303556","0.0045764947046699","0.00149642079106088","4.52648091236247e-23"
"Native.AmericanHomeowners","0.105129636900473","0.000632278371892162","0.00113502780616705","7.05594713066033e-18"
"AsianHomeowners","5.84729767558236","0.100884623150917","0.0308483475429801","0"
"Pacific.IslanderHomeowners","0.0597179997949735","0.000341684001763462","0.000451022528647295","5.66461312488372e-08"
"OtherHomeowners","1.08421085544514","0.00582284184195715","0.00205855408578527","3.96333918670394e-31"
"Multi.RaceHomeowners","1.45605066884915","0.00976383126007327","0.00579771190344004","1.30538858462708e-84"
"Renters","15.4077264503074","0.76649357679319","0.155740928754363","0"
"WhiteRenters","6.22262264280058","0.284794868700008","0.115702548812061","0"
"BlackRenters","1.4012405036387","0.0541214177868858","0.0347377917529914","0"
"Native.AmericanRenters","0.197630429533575","0.00435450982338206","0.0116878985899461","4.55265785472817e-169"
"AsianRenters","3.69492756062812","0.314122046645706","0.164870431023715","0"
"Pacific.IslanderRenters","0.0876058598921042","0.00279075984387389","0.0122459968676827","4.30625155807469e-177"
"OtherRenters","2.16605827879717","0.0469607495545263","0.019897536874617","1.57397375616349e-287"
"Multi.RaceRenters","1.63764117501646","0.0593492244390708","0.0774239735940816","0"
"Households","34.4316363310125","0.932801013336487","0.132560787936401","0"
"LatinoHomeowners","2.37130825776208","0.0134109699046993","0.00355988778178703","1.3179264441774e-52"
"LatinoRenters","3.7413562694195","0.0931814233671451","0.0328552648655251","0"
"PopulationNet","4.3100059240601","1.77679615754971","0.611715188655544","0"
"WhiteNet","-4.1653937099956","0.487511689869577","0.302582529764046","0"
"BlackNet","-0.67349070481169","0.107662972879524","0.0387209439828363","0"
"Native.AmericanNet","-0.0276421312910397","0.00134047821226681","0.000709883468992499","9.65252179050246e-12"
"AsianNet","5.25025324553839","0.890053859927434","0.461220274095299","0"
"Pacific.IslanderNet","0.00539578712119446","0.00675758702680989","0.00470192485795593","6.16266765864049e-69"
"OtherNet","0.372837383856335","0.00913780208295643","0.0115001166769727","2.27628534495255e-166"
"Multi.RaceNet","1.70811384314428","0.057118619526426","0.0635123609529812","0"
"LatinoNet","1.8447893487656","0.217093058721814","0.0774579837291751","0"
"HomesNet","4.62548507590631e-14","0.999999999999981","1","0"
"VacantNet","-0.415649506514732","0.123690426045259","0.146157639179819","0"
"Net.Households","0.41763413877275","0.876348813449654","0.895712853013894","0"
"Net.Homeowners","0.189853953158194","0.152527215041719","0.0963398709441217","0"
"Net.Renters","0.228701466416084","0.723820385352926","0.668518326729726","0"
"Net.White.Homeowners","-2.23611939620218","0.0420908659606606","0.016297929616489","1.78621354757143e-235"
"Net.Black.Homeowners","-0.138629038068275","0.0046947779921802","0.00312532176123498","2.15824096996994e-46"
"Net.Native.American.Homeowners","0.0345241872088436","0.000634073936913674","0.000957696268159603","2.52931670286815e-15"
"Net.Asian.Homeowners","1.3268669878933","0.0905720073319394","0.081736134746322","0"
"Net.Pacific.Islander.Homeowners","0.000194364574692568","0.000262380212222949","0.000232299052707031","9.77656898297513e-05"
"Net.Other.Homeowners","0.254574087693703","0.00535538019439885","0.00320476276809166","1.57773169062734e-47"
"Net.Multi.Race.Homeowners","0.952984478253735","0.00880762182496391","0.00628974728332136","1.18800507181565e-91"
"Net.White.Renters","-1.60081833015244","0.264138426688257","0.350115258970871","0"
"Net.Black.Renters","-0.239429882164584","0.0532205403289461","0.0987387894174349","0"
"Net.Native.American.Renters","0.0872520018561258","0.00393282047117908","0.0119214141176751","2.00144616888457e-172"
"Net.Asian.Renters","0.469981351713088","0.299035395926104","0.494040778446053","0"
"Net.Pacific.Islander.Renters","-0.00242888373448259","0.00254748746620937","0.0111115557207677","8.71997828539886e-161"
"Net.Other.Renters","0.580044708679791","0.0437944818790074","0.0599631293133255","0"
"Net.Multi.Race.Renters","0.938067577737074","0.0570693256226773","0.124059047931277","0"
"Net.Latino.Homeowners","0.123933466028579","0.0119360819707346","0.00655527405225379","1.88062874946286e-95"
